Import,Import
Print,Print
"Save & New","Save & New"
"Save & Close","Save & Close"
Generate,Generate
Back,Back
Reason,Reason
"Import File","Import File"
"Please select a CSV file","Please select a CSV file"
Delete,Delete
Save,Save
"Scan Barcode","Scan Serial Number"
Instruction,Instruction
Download,Download
"Invalid data","Invalid data"
"There are %1 barcodes existed and there are %2 invalid skus. You must download","There are %1 serial numbers existed and there are %2 invalid skus. You must download"
"There are %1 barcodes existed. You must download","There are %1 serial numbers existed. You must download"
"There are %1 invalid skus. You must download","There are %1 invalid skus. You must download"
"this file","this file"
" to modify and try to import them again."," to modify and try to import them again."
All,All
"Barcode Created History","Serial Number Created History"
"Manage Barcodes","Manage Serial Numbers"
"Barcode Created History Details","Serial Number Created History Details"
"Import Barcode","Import Serial Number"
"Barcode Details","Serial Number Details"
"Please scan your barcode to get data","Please scan your serial number to get data"
"In Stock","In Stock"
"Out of Stock","Out of Stock"
Enabled,Enabled
Disabled,Disabled
"Cannot find any records for %1","Cannot find any records for %1"
"The barcode has been imported.","The serial number has been imported."
"No barcode has been imported.","No serial number has been imported."
"Invalid file upload attempt","Invalid file upload attempt"
"Barcode Printing Configuration","Serial Number Printing Configuration"
"Generate Barcode","Generate Serial Number"
"Scan Barcodes","Scan Serial Numbers"
"%1 barcode(s) has been generated.","%1 serial number(s) has been generated."
"Cannot generate %1 barcode(s), please change Serial Number Pattern from the configuration to increase the maximum serial number number","Cannot generate %1 barcode(s), please change Barcode Pattern from the configuration to increase the maximum barcode number"
"You must select the product to generate the barcode","You must select the product to generate the serial number"
"Barcode Import Results","Serial Number Import Results"
"Invalid editing data!","Invalid editing data!"
OK,OK
"The template(s) has been deleted successfully","The template(s) has been deleted successfully"
"The template has been deleted successfully","The template has been deleted successfully"
"Edit Barcode Template","Edit Serial Number Template"
"Add a New Barcode Template","Add a New Serial Number Template"
"The template(s) status has been saved successfully","The template(s) status has been saved successfully"
"The template has been saved successfully","The template has been saved successfully"
"Cannot find any data to preview","Cannot find any data to preview"
"Manage Barcode Label Templates","Manage Serial Number Label Templates"
Generated,Generated
Imported,Imported
Standard,Standard
A4,A4
Jewelry,Jewelry
Active,Active
Inactive,Inactive
ID,ID
SKU,SKU
Quantity,Quantity
Supplier,Supplier
"Purchased Time","Purchased Time"
Actions,Actions
Cancel,Cancel
Remove,Remove
Name,Name
"General Infomation","General Infomation"
"Generate barcode per item (each item will generate a barcode with qty = 1)","Generate serial bumber per item (each item will generate a serial number with qty = 1)"
"Generate barcode per purchase (each product sku will generate a barcode)","Generate serial number per purchase (each product sku will generate a serial number)"
Warehouse,Warehouse
"Available Qty","Available Qty"
"Qty to Ship","Qty to Ship"
"Qty In Warehouse","Qty In Warehouse"
"Shelf Location","Shelf Location"
mm,mm
cm,cm
in,in
px,px
"-- Select Template --","-- Select Template --"
"Per Item","Per Item"
"Per Purchase","Per Purchase"
"Standard Barcode","Standard Serial Number"
"A4 Barcode","A4 Serial Number"
"Jewelry Barcode","Jewelry Serial Number"
Code-128,Code-128
Code-25,Code-25
"Interleaved 2 of 5","Interleaved 2 of 5"
Code-39,Code-39
Ean-13,Ean-13
Ean-2,Ean-2
Ean-5,Ean-5
Ean-8,Ean-8
Identcode,Identcode
Itf14,Itf14
Leitcode,Leitcode
Planet,Planet
Postnet,Postnet
Royalmail,Royalmail
UPC-A,UPC-A
UPC-E,UPC-E
"Invalid file upload attempt.","Invalid file upload attempt."
BARCODE,SERIAL_NUMBER
QTY,QTY
"Invalid file format.","Invalid file format."
"Barcode Management","Serial Number Management"
"Barcode Listing","Serial Number Listing"
"Generate Barcodes","Generate Serial Numbers"
"Import Barcodes","Import Serial Numbers"
"Print Barcodes","Print Serial Numbers"
"Barcode Generated History","Serial Number Generated History"
"Barcode Label Templates","Serial Number Label Templates"
"Barcode Settings","Serial Number Settings"
"Order Success","Order Success"
"Inventory Management","Inventory Management"
"Cannot find the data for ","Cannot find the data for "
"Cannot find the redirect URL for ","Cannot find the redirect URL for "
"Error","Error"
"Message","Message"
"Your browser has blocked the automatic popup, please change your browser settings or print the receipt manually","Your browser has blocked the automatic popup, please change your browser settings or print the receipt manually"
